Site,Plot,SpeciesID,Stems,SaplingDBH,SaplingAlive
SG3,11,23,53,,
SG3,12,121,2,,
SG3,12,23,25,,
SG3,12,25,5,,
SG3,13,121,4,,
SG3,13,23,24,,
SG3,14,121,1,,
SG3,14,23,46,,
SG3,14,24,5,,
SG3,14,25,4,,
SG3,15,28,1,,
SG3,16,23,12,,
SG3,16,24,8,,
SG3,17,28,3,,
SG3,17,25,1,,
SG3,18,121,1,,
SG3,18,23,53,,
SG3,19,23,48,,
SG3,19,28,2,,
SG3,20,23,28,,
SG3,20,90,1,,
SG3,21,23,23,,
SG3,22,23,51,,
SG3,22,90,5,,
SG3,22,25,2,,
SG3,22,28,1,,
SG3,23,121,1,,
SG3,23,23,36,,
SG3,24,23,62,,
SG3,24,28,1,,
SG3,25,121,2,,
SG3,25,23,41,,
SG3,25,24,1,,
SG3,25,90,1,,
CFP1,1,,,,
CFP1,2,,,,
CFP1,3,28,1,,
CFP1,4,24,11,,
CFP1,5,103,6,,
CFP1,6,,,,
CFP1,7,,,,
CFP1,8,26,1,,
CFP1,9,24,2,,
CFP1,10,26,2,,
CFP1,11,,,,
CFP1,12,,,,
CFP1,13,,,,
CFP1,14,,,,
CFP1,15,,,,
CFP1,16,26,2,,
CFP1,17,28,5,,
CFP1,18,,,,
CFP1,19,23,1,,
CFP1,20,,,,
CFP1,21,23,1,,
CFP1,22,,,,
CFP1,23,,,,
CFP1,24,23,1,,
CFP1,24,90,4,,
CFP1,24,28,4,,
CFP1,25,23,1,,
CFP1,25,28,1,,
CFP2,1,,,,
CFP2,2,26,6,,
CFP2,2,28,1,,
CFP2,2,29,1,,
CFP2,3,26,7,,
CFP2,3,29,2,,
CFP2,4,26,5,,
CFP2,4,28,7,,
CFP2,5,26,11,,
CFP2,6,,,,
CFP2,7,26,2,,
CFP2,7,28,1,,
CFP2,8,26,12,,
CFP2,9,26,4,,
CFP2,10,26,6,,
CFP2,10,28,1,,
CFP2,11,26,17,,
CFP2,12,,,,
CFP2,13,,,,
CFP2,14,26,5,,
CFP2,14,28,1,,
CFP2,15,,,,
CFP2,16,,,,
CFP2,17,,,,
CFP2,18,26,4,,
CFP2,19,26,4,,
CFP2,19,25,5,,
CFP2,20,26,25,,
CFP2,21,26,30,,
CFP2,21,25,4,,
CFP2,21,28,3,,
CFP2,22,26,25,,
CFP2,23,26,26,,
CFP2,24,26,12,,
CFP2,25,,,,
CFP3,1,,,,
CFP3,2,,,,
CFP3,3,,,,
CFP3,4,,,,
CFP3,5,23,1,,
CFP3,5,26,2,,
CFP3,6,,,,
CFP3,7,26,1,,
CFP3,8,26,1,,
CFP3,9,23,1,,
CFP3,9,26,1,,
CFP3,10,26,5,,
CFP3,10,28,1,,
CFP3,11,,,,
CFP3,12,26,4,,
CFP3,13,23,1,,
CFP3,14,26,1,,
CFP3,15,26,2,,
CFP3,16,,,,
CFP3,17,,,,
CFP3,18,,,,
CFP3,19,,,,
CFP3,20,,,,
CFP3,21,,,,
CFP3,22,26,1,,
CFP3,23,,,,
CFP3,24,,,,
CFP3,25,121,2,,
CFP3,25,23,2,,
CACR1,1,103,3,,
CACR1,1,26,4,,
CACR1,1,90,11,,
CACR1,1,24,6,,
CACR1,1,29,11,,
CACR1,2,23,1,,
CACR1,2,24,6,,
CACR1,2,90,10,,
CACR1,2,29,9,,
CACR1,2,28,5,,
CACR1,3,144,4,,
CACR1,3,27,2,,
CACR1,3,24,10,,
CACR1,3,28,8,,
CACR1,4,103,4,,
CACR1,4,29,9,,
CACR1,4,28,5,,
CACR1,4,24,30,,
CACR1,5,26,8,,
CACR1,5,24,26,,
CACR1,5,28,8,,
CACR1,5,29,17,,
CACR1,6,26,4,,
CACR1,6,90,2,,
CACR1,6,24,4,,
CACR1,6,28,3,,
CACR1,6,29,1,,
CACR1,7,24,6,,
CACR1,7,29,14,,
CACR1,8,26,3,,
CACR1,8,90,6,,
CACR1,8,28,8,,
CACR1,9,24,6,,
CACR1,9,29,2,,
CACR1,10,103,3,,
CACR1,10,24,10,,
CACR1,11,103,17,,
CACR1,11,24,5,,
CACR1,11,29,7,,
CACR1,12,103,19,,
CACR1,12,24,3,,
CACR1,12,90,14,,
CACR1,12,28,2,,
CACR1,13,121,1,7,1
CACR1,13,24,6,,
CACR1,13,90,4,,
CACR1,13,28,2,,
CACR1,14,103,2,,
CACR1,14,26,3,,
