Site,Plot,TreeRep,Alive,DBH
HSG1,22,,,
HSG1,23,,,
HSG1,24,,,
HSG1,25,1,1,37
HSG2,1,,,
HSG2,2,,,
HSG2,3,,,
HSG2,4,,,
HSG2,5,1,1,25
HSG2,6,,,
HSG2,7,,,
HSG2,8,,,
HSG2,9,,,
HSG2,10,,,
HSG2,11,,,
HSG2,12,,,
HSG2,13,,,
HSG2,14,1,1,25
HSG2,15,,,
HSG2,16,1,1,32
HSG2,17,1,1,27
HSG2,18,,,
HSG2,19,1,1,31
HSG2,20,,,
HSG2,21,,,
HSG2,22,,,
HSG2,23,,,
HSG2,24,1,1,25
HSG2,25,1,1,15
