Site,Plot,OpenSkyrep1,Openskyrep2,Lightrep1ab,Lightrep1be,Lightrep2ab,Lightrep2be,Lightrep3ab,Lightrep3be,ANPPgrass,ANPPwoody,ANPPforb,ANPPpyd,ANPPpine,TreeNum,FRI,FRIRatio,TimeSinceLastBurn,Season ,Region,GSavglowtemp,GSavghightemp,GSprecip ,Elevation,USEcoregions4
SG3,13,2020,1846,1838,1321,1914,647,1860,1184,2.37,1.38,,0.29,14.98,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,14,2020,1846,1853,1176,1925,1210,1881,1260,4.76,,,5.66,30.41,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,15,2020,1846,1865,1530,1476,1411,1851,1416,2.8,,,0.39,48.05,1,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,16,2020,1846,1888,1879,1877,1507,1840,1464,1.64,,,0.33,35.92,1,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,17,2020,1846,1908,1523,1885,1540,1775,856,6.14,,,1.94,41.41,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,18,2020,1846,1992,693,1946,960,1893,1297,49.38,,,26.83,10.65,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,19,2020,1846,1890,396,1910,826,897,788,23.57,2.45,,16.67,5.12,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,20,2020,1846,1829,1158,1886,658,1952,437,8.79,3.01,,2.3,19.02,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,21,2020,1846,1916,933,1934,961,1982,1625,10.03,,0.14,5.24,15.57,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,22,2020,1846,1910,1195,1978,1084,2012,1072,27.53,0.88,0.36,18.6,3.45,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,23,2020,1846,1951,1510,1991,1544,1995,1991,1.15,13.91,,8.27,12.34,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,24,2020,1846,1899,378,1936,1055,1929,1119,3.65,0.26,1.75,1.29,12.88,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
SG3,25,2020,1846,1649,1257,1364,1288,1871,1196,6.75,,,4.88,17.71,0,2,0.5,1,1,Sandhills,15.63,27.94,732.79,126.23,SandHills
CFP1,1,1911,1887,1524,631,1787,1278,674,336,4.09,,,1.32,30.09,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,2,1911,1887,969,868,732,471,631,490,42.96,,,21.32,24.47,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,3,1911,1887,404,214,485,369,298,148,19.93,,,11.09,32.63,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,4,1911,1887,1852,764,1900,1246,1884,1498,13.08,,0.43,9.85,33.13,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,5,1911,1887,1801,1037,1832,1064,,,23.49,1.64,,15.3,33.74,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,6,1911,1887,1616,1059,1726,1250,1533,1146,16.43,1.22,,12.33,29.94,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,7,1911,1887,1578,879,1889,1163,1861,1209,6.43,,,4.7,33.99,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,8,1911,1887,972,775,954,768,,,11.05,,1.52,5.64,42.98,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,9,1911,1887,661,508,535,385,439,435,10.36,,,6.08,22.45,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,10,1911,1887,610,320,738,497,611,360,8.67,,,5.29,20.38,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,11,1911,1887,416,220,398,330,647,477,21.16,,,11.64,14.95,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,12,1911,1887,357,244,407,172,801,713,22.61,,,9.2,28.8,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,13,1911,1887,1821,1081,1777,1311,1704,1118,19.99,,0.79,10.05,35.33,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,14,1911,1887,275,44,290,164,272,209,14.52,,,15.78,27.45,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,15,1911,1887,1588,415,1753,1006,1741,1076,18.5,4.86,,14.9,20.31,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,16,1911,1887,1741,1030,1833,1129,1862,864,19.43,2.11,,15.17,18.29,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,17,1911,1887,1765,391,1817,242,,,18.16,1.2,,24.43,16.46,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,18,1911,1887,1834,1213,1825,981,1746,930,15.26,,,5.94,35.09,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,19,1911,1887,1784,1568,1594,1529,1733,1614,6.61,2.27,,8.25,30.15,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,20,1911,1887,1194,488,920,347,1155,494,22.21,,,10.17,14.46,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,21,1911,1887,1519,1188,1786,1169,1573,1335,11.17,,,7.76,23.34,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,22,1911,1887,1793,1485,1727,1263,1791,1604,3.21,2.32,,0.72,31.67,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,23,1911,1887,1719,1400,1788,1613,1819,1427,1.5,6.5,,1.21,41.23,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,24,1911,1887,1434,511,1106,965,1044,764,6.32,4.81,,5.83,30.37,1,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP1,25,1911,1887,1704,1145,1688,865,1797,1218,10.87,1.04,0.61,6.24,36.49,0,2,0.5,1,0,Sandhills,15.63,27.94,732.79,95.77,SandHills
CFP2,1,1816,1822,1630,1045,539,273,869,816,18.57,,2.76,18.37,19.25,1,15,0.11764705,1,,Sandhills,15.63,27.94,732.79,119.65,SandHills
